hsn_code,name,type,tax_rate,cgst_rate,sgst_rate,cess_rate
01,Live Animals; Animal Products,Goods,0.000,0.000,0.000,
0101,"LIVE HORSES, ASSES, MULES AND HINNIES - HORSES:",Goods,0.000,0.000,0.000,
01011010,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMALS HORSES",Goods,0.000,0.000,0.000,
01011020,"LIVE HORSES, ASSES, MULESANDHINNIES PURE-BRED BREEDING ANIMALS ASSES",Goods,0.000,0.000,0.000,
01011090,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMAL S OTHER",Goods,0.000,0.000,0.000,
010121,PURE-BRED BREEDING ANIMALS,Goods,0.000,0.000,0.000,
01012100,01012100,Goods,5.000,2.500,2.500,
010129,OTHER,Goods,5.000,2.500,2.500,
01012910,HORSES FOR POLO,Goods,0.000,0.000,0.000,
01012990,OTHER,Goods,0.000,0.000,0.000,
010130,ASSES,Goods,0.000,0.000,0.000,
01013010,PURE-BRED BREEDING ANIMALS,Goods,0.000,0.000,0.000,
01013020,LIVESTOCK,Goods,0.000,0.000,0.000,
01013090,OTHER,Goods,0.000,0.000,0.000,
010190,"LIVE HORSES,ASSES,MULES & HINNIES OTHER",Goods,0.000,0.000,0.000,
01019010,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - HORSES FOR POLO",Goods,0.000,0.000,0.000,
01019020,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - ASSES, MULES AND HINNIES AS LIVE STOCK",Goods,0.000,0.000,0.000,
01019030,MULES AND HINNIES AS LIVESTOCK,Goods,0.000,0.000,0.000,
01019090,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - OTHER",Goods,0.000,0.000,0.000,
0102,LIVE BOVINE ANIMALS - CATTLE:,Goods,0.000,0.000,0.000,
01021010,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS : ADULT,Goods,0.000,0.000,0.000,
01021020,"LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS COWS, ADULT",Goods,0.000,0.000,0.000,
01021030,"LIVE BOVINE ANIMALS- BULLS - PURE-BRED BREEDING ANIMALS BUFFALOES, ADULT AND CALVES",Goods,0.000,0.000,0.000,
01021090,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS OTHER,Goods,0.000,0.000,0.000,
010221,PURE-BRED BREEDING ANIMALS,Goods,0.000,0.000,0.000,
01022110,BULLS,Goods,0.000,0.000,0.000,
01022120,COWS,Goods,0.000,0.000,0.000,
010229,OTHER,Goods,0.000,0.000,0.000,
01022910,BULLS,Goods,0.000,0.000,0.000,
01022990,"OTHER, INCLUDING CALVES",Goods,0.000,0.000,0.000,
010231,PURE-BRED BREEDING ANIMALS,Goods,0.000,0.000,0.000,
01023100,PURE-BRED BREEDING ANIMALS,Goods,0.000,0.000,0.000,
010239,OTHER,Goods,0.000,0.000,0.000,
01023900,OTHER,Goods,0.000,0.000,0.000,
010290,LIVE BOVNE ANMLS OTHR THN PURE‐BRED BREDNG,Goods,0.000,0.000,0.000,
01029010,LIVE BOVINE ANIMALS - OTHER - BULLS - ADULT,Goods,0.000,0.000,0.000,
01029020,"LIVE BOVINE ANIMALS - OTHER - BUFFALOES, ADULT AND CALVES",Goods,0.000,0.000,0.000,
01029090,LIVE BOVINE ANIMALS - OTHER - OTHER,Goods,0.000,0.000,0.000,
0103,LIVE SWINE,Goods,0.000,0.000,0.000,
010310,"LIVE SWINE, PURE‐BRED BREEDING",Goods,0.000,0.000,0.000,
01031000,LIVE SWINE PURE-BRED BREEDING ANIMALS,Goods,0.000,0.000,0.000,
010391,"LIVE SWINE,OTHER THAN PURE BRED‐BREEDING WEIGHING LESS THAN 50 KG",Goods,0.000,0.000,0.000,
01039100,LIVE SWINE - OTHER - WEIGHING LESS THAN 50 KG.,Goods,0.000,0.000,0.000,
010392,LIVE SWINE OTHER THAN PURE‐BRED BREEDING WEIGHING 50 KG OR MORE,Goods,0.000,0.000,0.000,
